id,nature,X,Y
2053,Misc,650334.2000000,6859938.0500000
2054,Misc,650283.1193384,6859974.4404580
2055,Misc,650347.6236964,6859613.6163868
2056,Misc,648558.9455696,6860966.2658228
2057,Misc,648094.6858016,6861006.0297132
2058,Misc,648156.5000000,6861072.6500000
2059,Misc,648102.3963076,6861067.8735313
2060,Misc,649969.4217391,6861289.6140097
2061,Misc,649928.9808874,6861864.0779054
2062,Misc,649948.2875253,6861908.5260408
2063,Misc,649969.7201974,6861900.1147260
2064,Misc,649856.6500000,6862495.3000000
2065,Misc,650006.5804228,6861964.4190033
2066,Misc,649839.2120228,6861433.2284491
2067,Misc,649944.1332172,6861299.4650407
2068,Misc,649912.5689360,6861574.7496646
2069,Misc,649908.7824777,6861498.2639648
2070,Misc,649901.1445368,6861255.5684666
2071,Misc,649908.3167363,6861304.7602307
2072,Misc,649801.1859373,6861914.2344605
2073,Misc,649933.2577037,6862255.0389036
2074,Misc,649780.1195508,6861977.4469618
2075,Misc,649873.3500000,6858955.6500000
2076,Misc,649906.0420184,6858895.5586608
2077,Misc,649854.1627838,6858229.1905280
2078,Misc,649903.8986191,6858915.2888971
2079,Misc,649863.8483041,6858218.5622890
2080,Misc,649838.0500000,6858302.2500000
2081,Misc,649831.4722122,6858333.9506329
2082,Misc,649845.5543267,6858802.2213276
2083,Misc,649835.5612404,6858447.4298709
2084,Misc,649860.7703075,6858422.2169449
2085,Misc,649843.5928455,6858812.6854472
2086,Misc,649864.4815869,6858517.8197148
2087,Misc,649828.1730838,6858616.2584670
2088,Misc,649314.4539353,6861858.5714257
2089,Misc,649515.6628392,6861772.4959664
2090,Misc,649389.3190719,6862025.5319660
2091,Misc,649294.6082386,6861860.4209280
2092,Misc,649722.5308352,6862092.0894063
2093,Misc,649710.8000000,6862153.4500000
2094,Misc,649378.6766038,6862071.1826415
2095,Misc,649294.7053851,6862174.9068166
2096,Misc,649296.3672043,6862152.3426601
2097,Misc,649706.2910931,6862015.7972375
2098,Misc,649247.5570440,6862125.1414885
2099,Misc,649403.9231810,6861635.7656514
2100,Misc,649499.6688045,6861737.7945026
2101,Misc,649363.9391246,6861612.8862626
2102,Misc,649352.4297811,6861659.2599846
2103,Misc,648964.3986901,6861826.8866901
2104,Misc,648970.0169996,6861567.1173537
2105,Misc,648967.5028453,6861394.3293221
2106,Misc,648995.0352941,6861880.8862745
2107,"Industrial, agricultural or commercial",649120.5150551,6861689.8643767
2108,Misc,649002.7501750,6861725.3617339
2109,Misc,649189.1841437,6861575.0280372
2110,"Industrial, agricultural or commercial",649099.0485446,6861684.9023091
2111,Monument,649078.5293254,6861424.0293254
2112,Misc,649068.9080381,6861471.7415372
2113,Misc,649081.8746842,6861833.4982993
2114,Misc,649030.8935957,6861433.1853671
2115,Misc,649796.2476474,6861350.6217127
2116,Misc,649665.4443825,6861795.8056892
2117,Misc,649747.4810720,6861726.3653266
2118,Misc,649739.2346389,6861727.8617161
2119,Misc,649595.3715076,6861729.4627939
2120,Misc,649581.0131973,6861768.0949660
2121,Misc,649658.9169298,6861608.6858772
2122,Misc,649842.3090947,6861448.5213600
2123,Misc,649700.2772549,6861852.8164706
2124,Misc,649754.8380888,6861878.6800372
2125,Misc,649698.7454865,6861835.7046350
2126,Misc,649750.3108397,6861850.8097060
2127,Misc,649769.7946441,6861545.8471927
2128,Misc,649783.8330754,6861680.6886510
2129,Misc,649834.6274478,6861651.5563059
2130,Misc,649823.3419355,6861530.2967742
2131,Misc,649744.5984644,6860781.0564239
2132,Misc,649809.2535808,6860638.9724861
2133,Misc,649686.6492484,6860943.7186238
2134,Misc,649822.6270361,6860627.3633921
2135,Misc,649794.5568159,6860671.3666457
2136,Misc,649689.1819209,6860885.4401130
2137,Misc,649796.0902770,6860613.4595847
2138,Misc,649733.8500000,6861081.5000000
2139,Misc,649720.0822348,6861055.2490270
2140,Misc,649749.1000000,6861180.5000000
2141,Misc,649714.9120107,6861078.2108994
2142,Misc,649592.6801802,6861035.9909910
2143,Misc,649793.5393343,6861053.6785233
2144,Misc,649802.5820078,6861027.9491340
2145,Misc,649721.2849965,6861098.1332340
2146,Misc,649419.2036199,6860802.4782805
2147,Misc,649372.1500000,6860821.9500000
2148,Misc,649557.7051821,6860818.5886154
2149,Misc,649615.0185148,6860838.9535254
2150,Misc,649514.2306738,6860826.1474291
2151,Misc,649411.2375979,6860794.0063969
2152,Misc,649384.9363189,6860816.5266832
2153,Misc,649582.9588560,6860827.7691714
2154,Misc,649327.8731023,6860841.2584138
2155,Misc,649333.6000000,6860893.6500000
2156,Misc,649052.5465130,6860806.8181611
2157,Misc,649266.5285204,6861029.7676017
2158,Misc,648498.8911111,6861910.8711111
2159,Misc,648480.5000000,6861908.0500000
2160,Misc,648483.1500000,6861931.3500000
2161,Misc,648474.0841270,6861113.5735450
2162,Misc,648488.1500000,6862115.4500000
2163,Misc,648492.4870042,6862691.3175527
2164,Misc,648469.2928571,6862112.2702381
2165,Misc,648539.4000000,6862107.8666667
2166,Misc,648488.5558999,6862689.6311482
2167,Misc,648528.0681004,6862357.9663082
2168,Misc,648474.6286119,6862683.4338055
2169,Misc,648496.6558999,6862693.1311482
2170,Misc,648562.2094099,6862741.8738437
2171,Misc,648506.7586387,6862115.4237347
2172,Misc,648463.9000000,6862085.1500000
2173,Misc,648432.6146199,6862112.6561404
2174,Misc,648545.0567568,6862176.4711712
2175,Misc,648567.6000000,6862933.4000000
2176,Misc,648569.1500000,6862929.8000000
2177,Misc,648693.4330892,6861948.0555465
2178,Misc,648646.2884354,6861459.8108844
2179,Misc,648673.0439560,6861442.7146520
2180,Misc,648693.2406062,6861930.1130783
2181,Misc,648614.1298090,6861321.8989394
2182,Misc,648620.8054587,6861315.0652515
2183,Misc,648657.5146341,6862359.0813008
2184,Misc,648665.1782649,6862489.2553036
