id,numpoints,X,Y
242,1,649461.1707161,6865574.8968425
243,5,653928.7718108,6866121.5717786
244,2,654520.3255406,6859139.3392361
245,1,648812.4481604,6864962.6604417
246,2,654233.8202221,6858945.6306876
247,1,653858.6623256,6859821.6707440
248,2,653040.9031550,6859511.2127194
249,1,652723.5514818,6859548.2734761
250,1,652930.5284379,6860024.5323200
251,2,654734.8160828,6866363.2516100
252,1,652960.7957376,6859593.6125633
253,2,654726.2046964,6866192.4916498
254,1,654775.4934299,6866187.2643556
255,1,653906.0630361,6858191.2612761
256,1,646525.4335566,6861172.3603368
257,4,654853.6951839,6866536.0269373
258,2,654831.1613590,6866121.0387822
259,1,653706.9730524,6858255.2016604
260,3,654625.7219664,6866281.4577927
261,1,654639.4794745,6865920.3251323
262,1,645646.7669093,6860999.4623808
263,4,645579.8175860,6860969.0018788
264,3,649032.5078803,6864282.7052291
265,3,645572.1519436,6860004.7372659
266,2,645942.3533318,6860458.9062986
267,2,645968.8630021,6860310.8628906
268,1,653645.3497599,6865064.7840711
269,3,645961.9493421,6861686.1688371
270,2,645933.5336865,6861515.0592624
271,1,645910.9856661,6862028.6438625
272,2,645991.5572573,6860705.0005033
273,5,645962.0515315,6860554.0309598
274,1,648901.4636199,6864437.5095709
275,3,646720.4719505,6863294.6004390
276,6,651910.2109705,6863404.6579562
277,4,646770.7521227,6863267.8458470
278,6,646062.1104194,6860489.3011377
279,3,647513.1327509,6860607.5888585
280,2,647239.3941816,6861036.4561809
281,6,647473.6718366,6862159.3461480
282,1,645554.5822961,6860566.6846316
283,1,650453.0202172,6866490.1777088
284,10,646672.9464996,6863073.6983594
285,2,650226.7090054,6864145.1050620
286,1,645617.7849275,6859972.6443587
287,4,645729.8727697,6860993.8669868
288,3,650517.4241554,6865339.0019087
289,2,649130.8938461,6859520.5275555
290,3,649646.1034068,6859479.5215708
291,2,649041.2030530,6859526.3528013
292,1,649818.0913096,6866458.3684005
293,3,651970.9982242,6864294.5002660
294,1,651950.4235884,6864085.7095725
295,1,649089.7062508,6859459.2430780
296,1,651787.4258484,6866230.3416611
297,1,654572.6907348,6866271.7830387
298,1,649225.8127152,6859474.1736841
299,2,648722.8578817,6859783.7462756
300,1,651869.4919339,6866238.7610591
301,2,648720.5323512,6859733.0280255
302,1,649137.4105265,6859612.7926639
303,3,645930.2071075,6861428.3614927
304,1,653779.5874521,6865505.1807397
305,4,651857.8400359,6864454.3708210
306,3,648875.9258503,6859627.1111743
307,3,652018.7289725,6864383.2037658
308,7,649782.5157529,6859645.5652908
309,1,651941.6527810,6866154.3121139
310,3,649865.8529174,6859553.0176804
311,3,649930.4162140,6859614.9281658
312,5,651722.5072390,6863799.6329662
313,3,649893.0015222,6859699.6669291
314,5,651887.3454908,6863546.7831727
315,4,649843.7588587,6859671.6278443
316,5,649691.8674028,6859606.8000555
317,1,649581.4240809,6859356.4946376
318,8,649872.4469719,6859312.8696254
319,10,649715.3004825,6859392.1146982
320,2,649166.8031455,6859393.1892877
321,2,649626.1443721,6859377.6024207
322,1,648392.9035210,6859143.5262899
323,1,648803.4167784,6859105.5739296
324,1,648967.3027910,6859152.8913199
325,3,651850.0431476,6864730.6989242
326,1,649067.1836254,6859702.6004844
327,3,648537.9129282,6859870.7718026
328,1,648647.0416310,6859844.7330343
329,2,649800.5487036,6859720.0807711
330,3,651936.6927531,6864704.9317294
331,1,649303.8583282,6859648.8249018
332,2,651857.9597044,6864067.5529705
333,3,651846.4793709,6866527.4869290
334,2,649303.7815326,6859776.3024193
335,4,649924.2010517,6859826.7264913
336,1,651702.7378132,6866156.0815252
337,1,651674.0650996,6866064.8676808
338,3,648990.8737123,6859735.4526067
339,1,648906.9748500,6859254.3234652
340,1,651766.2800868,6864507.1626071
341,1,652312.3128545,6863475.6171359
342,3,649934.8190308,6859359.7828351
343,6,649773.7629571,6859310.8906962
344,2,648386.4300169,6859325.3481954
345,1,648977.0014887,6859390.0769822
346,2,652707.6982308,6865675.2688502
347,1,656545.4925066,6861333.5965421
348,1,648206.8377048,6859167.7329673
349,1,649125.6266059,6859013.8478268
350,1,649510.8713783,6859263.2065658
351,1,649533.8437984,6859149.6355499
352,1,648445.3016227,6859915.2712801
353,1,648565.1134518,6859927.2175218
354,1,653171.0829079,6857720.7718031
355,1,648683.5301154,6863721.8381471
356,6,648342.4598549,6859165.5442858
357,3,653646.2937325,6865330.9984431
358,1,648094.9012601,6864814.3426421
359,1,648393.5766767,6859857.5203556
360,2,646517.6664127,6860916.4416158
361,1,653371.5724346,6865204.8809041
362,3,646208.4707751,6861220.8560585
363,6,646251.0957949,6860607.9133939
364,1,646783.8242868,6861124.1871095
365,3,646699.8103079,6860997.1004726
366,3,646612.0429965,6860988.0271989
367,1,646611.7294315,6861253.8764318
368,1,652324.9015775,6862039.7170867
369,1,647677.6100653,6863802.8050924
370,3,646452.5674237,6861910.1297200
371,5,651985.9285087,6861069.9137659
372,12,646204.2114029,6860326.5477220
373,2,646228.3984712,6860409.8716610
374,2,646631.2459493,6861546.7655692
375,1,646052.6940466,6860725.7807404
376,6,646110.9787716,6860548.4782460
377,6,646117.0351870,6860666.4996633
378,2,646140.1938390,6860154.8438730
379,5,646079.0127270,6861588.8787396
380,3,646081.9783549,6861214.0237599
381,3,646428.1014218,6861804.7336292
382,4,650985.0202718,6860074.2387056
383,2,651015.0146541,6860030.9123596
384,5,646352.8652292,6860499.7648663
385,2,646522.7423060,6861367.0507285
386,13,646505.5063067,6861077.8729230
387,3,646594.8410419,6861410.4181367
388,1,646494.3272094,6861455.5823252
389,1,646459.5238978,6861280.3202589
390,3,652022.4060269,6860514.2590001
391,1,646370.6588866,6861507.9900464
392,1,651912.9993729,6860384.3793615
393,2,646479.2978320,6861005.4510367
394,5,646477.9124119,6860783.3906308
395,1,650439.7701562,6861073.4618720
396,1,646384.7871393,6861202.5177318
397,6,646391.4817264,6861321.6546591
398,1,646087.0481066,6862337.0516076
399,3,646238.5550819,6862495.8156997
400,1,646164.4848597,6862272.9725221
401,1,646251.7156559,6861897.3887693
402,1,646199.1297868,6862682.4330173
403,2,652970.3673355,6862100.6742159
404,5,651476.8591289,6859196.1807867
405,2,646195.2657848,6861124.2984443
406,1,652936.8249881,6861921.3425769
407,1,646253.8365402,6861834.4154748
408,1,652945.0397349,6861676.9321247
409,2,646172.9213148,6861797.5446002
410,1,646164.1860427,6861370.9856583
411,3,650696.3264431,6859250.5599149
412,1,646163.9277846,6861072.8649728
413,5,650740.6494062,6859333.5326120
414,7,646122.2002804,6861150.2792770
415,4,646585.7029080,6862455.3390529
416,1,646160.6070103,6861638.2870015
417,1,646146.3686177,6861476.0644935
418,4,646510.6505449,6861997.3342708
419,5,650747.3578242,6859003.9336707
420,1,652762.8980003,6862034.2939253
421,1,646578.1777432,6862302.0599389
422,1,646401.3722581,6862073.5982220
423,2,646376.6053343,6861398.9826420
424,4,646306.2158907,6861242.3750560
425,1,646312.6415442,6861550.0168407
426,2,646271.8565092,6861762.8241674
427,1,646297.9739925,6861691.4352075
428,1,645983.6722695,6862155.1161771
429,4,646091.8032185,6860724.3001253
430,6,646312.4290540,6861133.7205330
431,1,648213.7296984,6863261.0461445
432,1,646017.8853169,6861189.7476372
433,1,656554.3412908,6863464.7532449
434,7,646544.8601751,6863050.8373617
435,2,646455.3230066,6862895.3384316
436,1,646532.0804297,6862801.9926900
437,5,652628.7492203,6858950.9411419
438,2,651396.2112553,6859467.6218578
439,2,646500.8815598,6862510.3112725
440,1,652969.2847616,6859234.9264192
441,2,646299.7378785,6862094.2937990
442,2,646653.9365821,6862521.1348891
443,2,646596.8757929,6862564.0902028
444,6,646546.1498420,6862622.7524568
445,1,651850.5627727,6862591.3087860
446,1,652229.3940100,6862649.8624641
447,1,652328.5129750,6862544.4232089
448,2,652214.6097679,6862612.0704624
449,1,652110.7448749,6862729.0622245
450,1,652410.6529159,6862691.5079448
451,1,652216.4744287,6862809.5049464
452,3,651633.1641441,6862868.6386758
453,4,652249.8483255,6862721.9689287
454,1,652333.1302389,6862776.5541346
455,6,655013.5271765,6864117.4654752
