id,numpoints,X,Y
1967,2,656365.6432580,6863981.7413952
1968,4,651757.8196639,6863215.7845124
1969,1,651719.5235333,6862634.3877987
1970,3,655351.0315858,6865411.2713794
1971,2,645950.9947716,6862066.8283949
1972,1,654433.0015949,6859126.3469806
1973,1,652130.6796907,6861164.2525160
1974,3,652148.8680788,6861097.0367393
1975,1,652325.3841442,6859190.6371657
1976,3,651788.4937841,6862611.7516899
1977,2,654413.3157876,6858956.4175085
1978,5,654484.3351987,6858840.6754855
1979,1,646159.1236145,6861638.5403909
1980,2,651998.2314703,6862324.8847306
1981,1,651065.0790345,6862623.1820179
1982,1,651904.1192001,6862300.3468505
1983,3,656836.8908402,6861067.5191020
1984,4,652089.0442294,6862316.5367166
1985,3,654987.9800053,6860245.7528039
1986,1,650976.2498007,6865951.5878268
1987,1,651634.2860698,6861568.2257500
1988,1,655548.5489177,6863452.4813684
1989,1,651712.7774764,6860521.6869620
1990,1,647262.0971651,6862923.9867023
1991,1,651785.9893912,6866235.3536376
1992,2,646304.7600569,6862088.0486048
1993,1,651798.8685295,6866358.6512703
1994,1,651802.6198653,6865620.3896926
1995,4,656447.4053626,6860273.4481230
1996,4,655611.8093981,6863036.1313797
1997,1,648086.3637105,6861481.6420372
1998,2,648151.4957582,6861462.1236552
1999,2,648960.4776752,6858658.1377424
2000,3,649166.7317304,6858557.6411738
2001,5,655540.3386563,6861274.4776600
2002,1,655493.4405034,6861203.1591691
2003,8,646622.5767725,6862649.4614840
2004,1,655493.5813988,6861404.1976148
2005,1,646800.5348148,6862847.1564475
2006,1,655307.1210351,6861593.5741166
2007,3,646880.5034615,6862860.6198195
2008,1,655429.3723664,6865097.1960144
2009,17,648222.6421900,6859266.0313934
2010,6,648339.8272678,6859163.4928897
2011,1,655531.9250798,6864143.3366432
2012,2,655409.2948918,6864788.7359785
2013,1,646752.1427260,6862118.2774949
2014,5,655443.8787601,6864884.5103656
2015,7,655445.0031438,6864579.8734725
2016,3,650467.3718763,6861286.2012278
2017,2,655345.1489238,6864600.6586333
2018,15,650420.0734875,6861251.3420152
2019,7,655346.7707521,6864834.5136222
2020,2,652331.7746344,6858781.3449619
2021,1,655614.9025920,6863359.1404123
2022,1,650439.9362302,6861073.2992213
2023,1,652355.7403617,6858869.6879168
2024,10,655618.7857351,6863159.3546051
2025,2,650392.3111824,6862284.4301493
2026,1,654661.2668853,6862271.0997565
2027,3,654600.9957735,6858912.2542405
2028,1,654613.1287325,6858988.3736209
2029,1,647664.9371041,6865035.9801209
2030,6,654632.7207277,6860340.6075314
2031,2,650709.0664932,6859527.4186576
2032,1,655551.2373501,6864946.4523197
2033,1,655506.3231037,6864678.7979165
2034,1,654606.5168344,6861532.5034149
2035,3,652383.8812924,6860785.1545428
2036,1,655613.8464062,6864896.4785480
2037,4,655159.2480184,6864233.6166449
2038,8,650771.0313883,6860917.9195755
2039,3,650309.5035285,6859487.9056098
2040,2,652158.4902771,6858542.8860207
2041,2,652715.5977318,6863529.0327383
2042,4,646509.7317922,6862423.5034080
2043,3,651668.0242841,6865775.6143456
2044,2,650437.8227414,6863398.3720942
2045,3,653243.5882282,6865926.2086088
2046,3,650400.9524471,6864747.3118108
2047,2,654475.1057800,6865241.1992336
2048,5,652114.0237416,6858490.4755892
2049,1,652046.6212020,6858577.9309676
2050,1,653412.4900620,6858395.6927005
2051,1,655197.4377398,6864539.2483756
2052,1,649923.7993511,6865913.8311871
2053,3,653100.5737960,6859296.5223357
2054,3,647698.8006155,6860549.4850691
2055,5,654340.7045666,6864826.4316816
2056,1,652534.4626278,6859026.4241629
2057,1,652507.9972508,6858945.8908036
2058,5,654608.2739502,6863799.2251280
2059,1,650603.1718310,6859584.9632767
2060,5,650325.4609788,6862085.1692927
2061,1,650295.5916019,6860119.3379261
2062,2,650439.1322634,6858977.0808611
