DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS,ORIGINE,NUMPOINTS,X,Y
116,75106,PARIS 6E ARRONDISSEMENT,2308,751062308,NOTRE DAME DES CHAMPS 8,H,,40,650158.6832772,6861052.5267672
117,75106,PARIS 6E ARRONDISSEMENT,2309,751062309,NOTRE DAME DES CHAMPS 9,H,,32,650543.7661585,6861243.4341375
118,75106,PARIS 6E ARRONDISSEMENT,2310,751062310,NOTRE DAME DES CHAMPS 10,H,,11,650758.2227519,6861390.0685991
119,75106,PARIS 6E ARRONDISSEMENT,2311,751062311,NOTRE DAME DES CHAMPS 11,H,,27,650863.3313923,6861248.7772102
120,75106,PARIS 6E ARRONDISSEMENT,2401,751062401,SAINT-GERMAIN DES PRES 1,H,,30,650973.1230672,6861664.3722188
121,75106,PARIS 6E ARRONDISSEMENT,2402,751062402,SAINT-GERMAIN DES PRES 2,H,,20,651152.6404231,6861929.3591310
122,75106,PARIS 6E ARRONDISSEMENT,2499,751062499,SEINE ET BERGES,D,,0,651174.2242689,6862257.5821826
123,75107,PARIS 7E ARRONDISSEMENT,2501,751072501,SAINT-THOMAS D'AQUIN 1,H,,6,650677.3488694,6861732.3373990
124,75107,PARIS 7E ARRONDISSEMENT,2502,751072502,SAINT-THOMAS D'AQUIN 2,H,,4,650480.3601694,6861680.5914856
125,75107,PARIS 7E ARRONDISSEMENT,2503,751072503,SAINT-THOMAS D'AQUIN 3,H,,9,650210.8110816,6861527.2876073
126,75107,PARIS 7E ARRONDISSEMENT,2504,751072504,SAINT-THOMAS D'AQUIN 4,H,,18,650323.3386477,6861980.9474849
127,75107,PARIS 7E ARRONDISSEMENT,2505,751072505,SAINT-THOMAS D'AQUIN 5,H,,16,650538.4664453,6862222.6290235
128,75107,PARIS 7E ARRONDISSEMENT,2506,751072506,SAINT-THOMAS D'AQUIN 6,H,,22,650825.1041941,6862089.3482003
129,75107,PARIS 7E ARRONDISSEMENT,2507,751072507,SAINT-THOMAS D'AQUIN 7,A,,0,650473.8190715,6861447.8999855
130,75107,PARIS 7E ARRONDISSEMENT,2508,751072508,SAINT-THOMAS D'AQUIN 8,A,,0,650623.6748646,6862405.6190403
131,75107,PARIS 7E ARRONDISSEMENT,2599,751072599,SEINE ET BERGES,D,,0,650792.2474105,6862423.2897379
132,75107,PARIS 7E ARRONDISSEMENT,2601,751072601,INVALIDES 1,H,,17,650036.5323597,6861977.7881048
133,75107,PARIS 7E ARRONDISSEMENT,2602,751072602,INVALIDES 2,H,,3,649829.8885013,6862037.8835952
134,75107,PARIS 7E ARRONDISSEMENT,2603,751072603,INVALIDES 3,H,,0,649431.2147925,6862468.7571023
135,75107,PARIS 7E ARRONDISSEMENT,2604,751072604,INVALIDES 4,H,,13,650210.3211187,6862443.3763966
136,75107,PARIS 7E ARRONDISSEMENT,2605,751072605,INVALIDES 5,A,,1,649906.0720988,6862639.6791189
137,75107,PARIS 7E ARRONDISSEMENT,2606,751072606,INVALIDES 6,D,,0,649574.7395899,6862203.2109099
138,75107,PARIS 7E ARRONDISSEMENT,2699,751072699,SEINE ET BERGES,D,,0,649967.4344568,6862743.7974314
139,75107,PARIS 7E ARRONDISSEMENT,2701,751072701,ECOLE MILITAIRE 1,H,,7,649943.2804098,6861186.9088655
140,75107,PARIS 7E ARRONDISSEMENT,2702,751072702,ECOLE MILITAIRE 2,H,,0,649641.0209199,6861089.2112643
141,75107,PARIS 7E ARRONDISSEMENT,2703,751072703,ECOLE MILITAIRE 3,H,,2,649219.1083786,6861130.9315093
142,75107,PARIS 7E ARRONDISSEMENT,2704,751072704,ECOLE MILITAIRE 4,H,,4,649394.3901558,6861298.8718981
143,75107,PARIS 7E ARRONDISSEMENT,2705,751072705,ECOLE MILITAIRE 5,H,,13,649457.9579039,6861648.0168739
144,75107,PARIS 7E ARRONDISSEMENT,2706,751072706,ECOLE MILITAIRE 6,H,,1,649766.7648702,6861405.4310219
145,75107,PARIS 7E ARRONDISSEMENT,2707,751072707,ECOLE MILITAIRE 7,A,,3,649045.9125913,6861469.2015401
146,75107,PARIS 7E ARRONDISSEMENT,2801,751072801,GROS CAILLOU 1,H,,14,649242.5271867,6861896.5375743
147,75107,PARIS 7E ARRONDISSEMENT,2802,751072802,GROS CAILLOU 2,H,,13,649225.8214700,6862124.8165946
148,75107,PARIS 7E ARRONDISSEMENT,2803,751072803,GROS CAILLOU 3,H,,21,649069.0060821,6862008.1472783
149,75107,PARIS 7E ARRONDISSEMENT,2804,751072804,GROS CAILLOU 4,H,,13,649151.0264114,6862292.0677902
150,75107,PARIS 7E ARRONDISSEMENT,2805,751072805,GROS CAILLOU 5,H,,28,648865.0498149,6862094.3479572
151,75107,PARIS 7E ARRONDISSEMENT,2806,751072806,GROS CAILLOU 6,H,,10,648663.1736522,6862090.4432398
152,75107,PARIS 7E ARRONDISSEMENT,2807,751072807,GROS CAILLOU 7,H,,6,648404.2938367,6861830.1239460
153,75107,PARIS 7E ARRONDISSEMENT,2808,751072808,GROS CAILLOU 8,H,,10,648694.6293421,6862323.4314083
154,75107,PARIS 7E ARRONDISSEMENT,2809,751072809,GROS CAILLOU 9,H,,13,648605.2214491,6862531.4993131
155,75107,PARIS 7E ARRONDISSEMENT,2810,751072810,GROS CAILLOU 10,H,,41,649089.3813281,6862474.7057610
156,75107,PARIS 7E ARRONDISSEMENT,2811,751072811,GROS CAILLOU 11,H,,27,649109.6308953,6862641.3092571
157,75107,PARIS 7E ARRONDISSEMENT,2812,751072812,CHAMP DE MARS,D,,0,648481.4786662,6862013.6979044
158,75107,PARIS 7E ARRONDISSEMENT,2899,751072899,SEINE ET BERGES,D,,0,648597.5906699,6862638.4227630
159,75108,PARIS 8E ARRONDISSEMENT,2901,751082901,CHAMPS ELYSEES 1,H,,21,648860.1377792,6863253.9796533
160,75108,PARIS 8E ARRONDISSEMENT,2902,751082902,CHAMPS ELYSEES 2,A,,16,649164.9685634,6863087.9365087
161,75108,PARIS 8E ARRONDISSEMENT,2903,751082903,CHAMPS ELYSEES 3,A,,34,649043.0116176,6863468.4383767
162,75108,PARIS 8E ARRONDISSEMENT,2904,751082904,CHAMPS ELYSEES 4,A,,6,648671.7767194,6863248.5125884
163,75108,PARIS 8E ARRONDISSEMENT,2905,751082905,CHAMPS ELYSEES 5,A,,9,648584.1842593,6863620.0733260
164,75108,PARIS 8E ARRONDISSEMENT,2906,751082906,CHAMPS ELYSEES 6,A,,2,648584.4972237,6863789.9975829
165,75108,PARIS 8E ARRONDISSEMENT,2907,751082907,CONCORDE JAR CHPS ELYSEES,D,,0,649790.7933882,6863157.2736492
166,75108,PARIS 8E ARRONDISSEMENT,2999,751082999,SEINE ET BERGES,D,,0,649492.7925847,6862881.0010469
167,75108,PARIS 8E ARRONDISSEMENT,3001,751083001,FAUBOURG DU ROULE 1,H,,9,648623.4699709,6864169.1303036
168,75108,PARIS 8E ARRONDISSEMENT,3002,751083002,FAUBOURG DU ROULE 2,H,,14,648943.3955243,6864332.2661044
169,75108,PARIS 8E ARRONDISSEMENT,3003,751083003,FAUBOURG DU ROULE 3,A,,11,649178.8416205,6863628.6011795
170,75108,PARIS 8E ARRONDISSEMENT,3004,751083004,FAUBOURG DU ROULE 4,A,,17,649308.4835347,6863786.2105485
171,75108,PARIS 8E ARRONDISSEMENT,3005,751083005,FAUBOURG DU ROULE 5,A,,34,648799.6754932,6863932.1825738
172,75108,PARIS 8E ARRONDISSEMENT,3006,751083006,FAUBOURG DU ROULE 6,A,,1,649311.6456945,6864010.7762127
173,75108,PARIS 8E ARRONDISSEMENT,3101,751083101,MADELEINE 1,A,,2,650144.1884235,6863340.1624753
174,75108,PARIS 8E ARRONDISSEMENT,3102,751083102,MADELEINE 2,A,,5,649734.0597942,6863580.5133472
175,75108,PARIS 8E ARRONDISSEMENT,3103,751083103,MADELEINE 3,A,,14,649825.9246833,6863922.1599245
176,75108,PARIS 8E ARRONDISSEMENT,3104,751083104,MADELEINE 4,A,,9,649886.8998819,6863782.8884202
177,75108,PARIS 8E ARRONDISSEMENT,3105,751083105,MADELEINE 5,A,,10,650199.1336670,6863603.4112627
178,75108,PARIS 8E ARRONDISSEMENT,3106,751083106,MADELEINE 6,A,,1,650425.9617219,6863724.7884394
179,75108,PARIS 8E ARRONDISSEMENT,3107,751083107,MADELEINE 7,A,,5,650372.8773020,6863967.5548837
180,75108,PARIS 8E ARRONDISSEMENT,3108,751083108,MADELEINE 8,A,,4,650452.4780223,6864063.8890408
181,75108,PARIS 8E ARRONDISSEMENT,3201,751083201,EUROPE 1,H,,24,650174.8644375,6864284.7829917
182,75108,PARIS 8E ARRONDISSEMENT,3202,751083202,EUROPE 2,H,,36,649769.3690920,6864286.5973716
183,75108,PARIS 8E ARRONDISSEMENT,3203,751083203,EUROPE 3,H,,26,649389.5481162,6864539.8280782
184,75108,PARIS 8E ARRONDISSEMENT,3204,751083204,EUROPE 4,H,,26,649854.4804386,6864606.6093125
185,75108,PARIS 8E ARRONDISSEMENT,3205,751083205,EUROPE 5,H,,23,650102.1802552,6864679.0885187
186,75108,PARIS 8E ARRONDISSEMENT,3206,751083206,EUROPE 6,H,,14,650352.9554301,6864746.0747859
187,75108,PARIS 8E ARRONDISSEMENT,3207,751083207,EUROPE 7,H,,8,650565.3216057,6864817.7063687
188,75108,PARIS 8E ARRONDISSEMENT,3208,751083208,EUROPE 8,A,,1,650496.7876812,6864374.2371060
